Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
14-Nov-17,308.7,315,316.35,306.9,5.68M
13-Nov-17,315.4,300.13,316.8,299.11,7.58M
10-Nov-17,302.99,302.5,308.36,301.85,4.63M
09-Nov-17,302.99,302.5,304.46,296.3,5.45M
08-Nov-17,304.39,305.5,306.89,301.3,4.73M
07-Nov-17,306.05,301.02,306.5,300.03,5.29M
06-Nov-17,302.78,307,307.5,299.01,6.49M
03-Nov-17,306.09,299.5,306.25,295.13,8.89M
02-Nov-17,299.26,300.13,308.69,292.63,19.79M
01-Nov-17,321.08,332.25,332.61,320.26,8.46M
31-Oct-17,331.53,320.23,331.95,320.18,5.67M
30-Oct-17,320.08,319.18,323.78,317.25,4.25M
27-Oct-17,320.87,319.75,324.59,316.66,6.98M
26-Oct-17,326.17,327.78,330.23,323.2,5.02M
25-Oct-17,325.84,336.7,337.5,323.56,8.59M
