CIPLA,GAIL,HDFC,INFY,ITC,M&M,MARUTI,RELIANCE,TCS,TITAN,DHFL,IDBI,PNB,VOLTAS,SUNTV,TATA POWER,NBCC,MRPL,IGL,RELINFRA,SUZLON,RAYMOND,PVR,ASHOKA,BAJAJELEC,VENKEYS,CENTURYPLY,BOMDYEING,LEMONTREE,SONATSOFTW
536.75,378.35,1640.85,940.25,306.8,1387.3,7263.9,1388.8,2399.7,516.4,454.8,58.95,147.65,489.55,839,77.9,200.7,126.95,1060.45,479.55,18.75,739.95,1564.15,193.3,343.95,1473.5,307.1,82.35,68.1,158.05
539.75,380.65,1654.2,929.85,310.9,1388.25,7249.25,1409.25,2431.7,515.2,458.85,57.1,147.25,474.15,859.45,78.05,205.45,127.75,1069.7,484.65,18.55,731.7,1569.9,194.8,346.8,1450.55,302.9,81.4,66.75,153.95
547.85,375.2,1631.5,943.55,308.7,1389.45,7207.25,1412.35,2445,526.7,459.9,55.9,143.9,470.85,845.4,82.1,206.95,126.75,1086.35,479.95,18.6,735.35,1570.3,199.2,341.4,1442.95,292.65,85.2,65,153.95
541,368.25,1628.25,943.35,308.95,1387.15,7268.2,1422,2406.3,523.1,461.2,56.9,146.2,468.3,848.3,81.75,209.8,124.05,1093.7,490.2,18.7,743.4,1581.4,198.25,342.35,1425.35,298.9,87.45,65.1,152.85
540.15,360.1,1653.8,940.15,311.3,1396.3,7316.1,1432.65,2394.85,519.9,456.5,56.95,145.55,465.7,832.6,82.75,206.9,122.45,1077.2,493.6,18.7,731,1563.95,191.55,340,1405.4,301.1,86.15,63.95,152.25
541.15,354.15,1651.35,943.25,311,1376.2,7219.15,1435.85,2361.7,513.3,439.8,56.25,143.9,454.3,809.25,81.5,208.9,117.35,1068,503.85,18.4,712.3,1508,184.15,328.4,1466.8,301.05,83.25,63.05,151.3
534.65,359.7,1651.05,927.05,312.35,1370.3,7183.35,1437.15,2342.85,516,426.5,55.15,137,446.05,792.2,81.1,202.15,119.65,1052.2,503.55,18.1,699.8,1450.35,182.75,324.6,1420.65,290.9,80.7,66.35,149.85
536.85,356.05,1629,924.7,308.35,1356.05,7225.05,1398.5,2350.05,507.3,427.85,54.05,136.5,449.85,808.05,81.65,203.5,119.55,1036.15,503.8,17.65,714.3,1405.35,183.65,325.05,1433.7,300.85,81.7,65.15,151.05
543.75,362.35,1632.2,930.2,311.6,1355.65,7224.35,1392.7,2333.25,509.6,436.2,53.4,138.05,453.65,806.8,81.55,204.3,118.9,1052.75,503.5,18.1,721.8,1417.6,186.65,331.8,1626.2,302.05,82,65.4,157
555.6,361.45,1614.95,935.55,323.65,1348.6,7217.6,1380,2362.35,524.45,437.2,53.5,137.3,457.25,816.4,80.55,202.5,118.25,1056.65,497.45,18.75,724.7,1408.55,184.6,326.75,1698.65,294.25,80.75,65.7,152.9
551.85,367.1,1621.65,951.9,342.5,1366.45,7354,1381.05,2373.6,532.4,442.45,53.95,139.25,469,826.5,80.4,207.55,119.85,1052.35,508.4,18.9,768.05,1440.4,185.75,328.25,1755.85,292.9,85.4,69.05,155.7
545.05,365.35,1640.65,962.15,337.25,1355.15,7376.15,1421.95,2366.85,535.55,435.95,53.5,136.55,463.35,815.5,81.2,205.1,120.85,1062,500.15,18.65,765.25,1425.75,188.3,324.4,2089.85,291.5,83.1,70.1,152.4
545.9,363.05,1629.1,950.9,331.05,1385,7377.65,1442.65,2356,531.8,435.8,55.5,136.6,475.75,824.95,81.75,206.1,122.85,1072,507.4,18.75,815.65,1407.2,190,321.3,2298.8,286.7,88.35,72.45,163
542.85,361.5,1647.9,947,337.1,1376.05,7474.05,1442.55,2347.55,533.95,437.9,57.4,143.3,470.75,825.5,81.95,206.15,123.1,1073.4,508.5,18.7,819.65,1421.2,187.25,330.8,2237.75,289.9,90.15,72.6,163.35
547.15,358.95,1629.15,935.4,334.3,1376,7432.8,1491.15,2331.95,532.5,435.55,56.35,144.2,466.55,828,81.7,204.75,121.75,1072.35,514.85,18.55,808.2,1419.05,190,328.6,2403.4,288.8,89.55,72.7,162.45
549.2,366,1638.85,957.05,333.3,1367.4,7430.45,1492.85,2434.95,536.75,437.05,58.1,153.25,467,830,83.45,205.25,122.4,1072.3,516.4,18.85,815.55,1425.4,188.45,330.7,2439.2,289.5,89.55,75.95,163.9
538.45,363.25,1642.75,975.35,330.4,1390.15,7457,1494.35,2475.8,528.7,437.45,56.35,149.4,463.1,819.05,83,208.95,122.8,1117.75,509.45,19.35,788.85,1419.3,189.45,339.2,2403.75,281,86.5,70.2,163.15
539.95,369.85,1639.95,972.35,328.85,1376.7,7476.65,1511.1,2439.45,530.8,434.9,57,152.35,473.6,826.4,83.05,211.45,127.1,1121.2,513.4,19.1,802.65,1419.6,191.65,333.85,2347.3,281.4,88.5,70.2,165.8
543.65,372.05,1656.9,977.05,338.75,1370.4,7567.55,1522.1,2446.4,534.15,443,56.95,152.25,484.75,829.2,83.25,212.45,126.95,1125.1,515.4,19.05,806.8,1417.7,193.8,330.5,2304.65,284,88.1,71.35,163.95
